state_code,year,metric,value,unit,geography_level
AP,2005,Installed Capacity,346.9,GW,State
AP,2005,Renewable Capacity,285.57,MW,State
AP,2005,AT&C Losses,501.34,MW,State
AP,2005,ACS-ARR Gap,837.05,MW,State
AP,2005,Daily Power Supply,553.7,MW,State
AP,2006,Installed Capacity,229.12,MW,State
AP,2006,Renewable Capacity,789.7,GW,State
AP,2006,AT&C Losses,763.88,GW,State
AP,2006,ACS-ARR Gap,632.38,INR/kWh,State
AP,2006,Daily Power Supply,267.21,MW,State
AP,2007,Installed Capacity,729.2,GW,State
AP,2007,Renewable Capacity,550.56,Hours,State
AP,2007,AT&C Losses,460.45,GW,State
AP,2007,ACS-ARR Gap,565.29,Hours,State
AP,2007,Daily Power Supply,585.14,Hours,State
AP,2008,Installed Capacity,798.01,Hours,State
AP,2008,Renewable Capacity,521.19,%,State
AP,2008,AT&C Losses,419.31,INR/kWh,State
AP,2008,ACS-ARR Gap,755.12,MW,State
AP,2008,Daily Power Supply,27.93,Hours,State
AP,2009,Installed Capacity,35.43,%,State
AP,2009,Renewable Capacity,114.79,GW,State
AP,2009,AT&C Losses,745.17,Hours,State
AP,2009,ACS-ARR Gap,194.63,INR/kWh,State
AP,2009,Daily Power Supply,411.81,INR/kWh,State
AP,2010,Installed Capacity,175.34,%,State
AP,2010,Renewable Capacity,573.87,Hours,State
AP,2010,AT&C Losses,119.9,MW,State
AP,2010,ACS-ARR Gap,464.91,%,State
AP,2010,Daily Power Supply,715.77,%,State
AP,2011,Installed Capacity,395.35,MW,State
AP,2011,Renewable Capacity,23.3,INR/kWh,State
AP,2011,AT&C Losses,73.25,GW,State
AP,2011,ACS-ARR Gap,619.81,GW,State
AP,2011,Daily Power Supply,156.38,GW,State
AP,2012,Installed Capacity,398.4,GW,State
AP,2012,Renewable Capacity,594.35,INR/kWh,State
AP,2012,AT&C Losses,574.62,INR/kWh,State
AP,2012,ACS-ARR Gap,664.24,INR/kWh,State
AP,2012,Daily Power Supply,550.74,%,State
AP,2013,Installed Capacity,223.33,%,State
AP,2013,Renewable Capacity,682.18,GW,State
AP,2013,AT&C Losses,308.02,Hours,State
AP,2013,ACS-ARR Gap,41.88,GW,State
AP,2013,Daily Power Supply,280.62,Hours,State
AP,2014,Installed Capacity,158.21,MW,State
AP,2014,Renewable Capacity,687.15,INR/kWh,State
AP,2014,AT&C Losses,426.39,GW,State
AP,2014,ACS-ARR Gap,418.47,INR/kWh,State
AP,2014,Daily Power Supply,358.96,MW,State
AP,2015,Installed Capacity,854.26,Hours,State
AP,2015,Renewable Capacity,41.25,MW,State
AP,2015,AT&C Losses,563.46,MW,State
AP,2015,ACS-ARR Gap,451.19,INR/kWh,State
AP,2015,Daily Power Supply,615.73,MW,State
AP,2016,Installed Capacity,24.35,%,State
AP,2016,Renewable Capacity,720.95,Hours,State
AP,2016,AT&C Losses,349.66,Hours,State
AP,2016,ACS-ARR Gap,116.09,INR/kWh,State
AP,2016,Daily Power Supply,491.28,INR/kWh,State
AP,2017,Installed Capacity,563.53,GW,State
AP,2017,Renewable Capacity,865.09,MW,State
AP,2017,AT&C Losses,186.41,INR/kWh,State
AP,2017,ACS-ARR Gap,62.89,MW,State
AP,2017,Daily Power Supply,35.55,MW,State
AP,2018,Installed Capacity,614.86,GW,State
AP,2018,Renewable Capacity,590.32,INR/kWh,State
AP,2018,AT&C Losses,760.47,MW,State
AP,2018,ACS-ARR Gap,306.89,%,State
AP,2018,Daily Power Supply,254.03,Hours,State
AP,2019,Installed Capacity,623.75,MW,State
