entity,entity_type,state_code,year,metric,value,unit
NTPC,CPSE,WB,2005,Gross Turnover,621998.37,INR Lakh Cr
NTPC,CPSE,MP,2005,Net Profit,241249.79,INR Lakh Cr
NTPC,CPSE,WB,2005,Dividend,320954.46,INR Lakh Cr
NTPC,Institution,AP,2005,Credit Deployed,689718.49,%
NTPC,Bank,MP,2005,GNPA Ratio,582771.34,%
NTPC,CPSE,PB,2005,Recovery Rate,584960.39,INR Cr
NTPC,CPSE,RJ,2006,Gross Turnover,486075.99,INR Cr
NTPC,Institution,TN,2006,Net Profit,434248.93,%
NTPC,Institution,HR,2006,Dividend,175364.49,INR Lakh Cr
NTPC,Institution,GJ,2006,Credit Deployed,147316.46,INR Cr
NTPC,CPSE,BR,2006,GNPA Ratio,635389.68,%
NTPC,CPSE,AP,2006,Recovery Rate,869419.65,INR Cr
NTPC,Institution,UP,2007,Gross Turnover,130711.07,INR Lakh Cr
NTPC,CPSE,OD,2007,Net Profit,181065.7,INR Cr
NTPC,Institution,BR,2007,Dividend,756998.17,INR Cr
NTPC,Institution,HR,2007,Credit Deployed,258097.32,INR Cr
NTPC,CPSE,GJ,2007,GNPA Ratio,313989.89,INR Cr
NTPC,Institution,RJ,2007,Recovery Rate,704565.93,INR Lakh Cr
NTPC,Institution,MP,2008,Gross Turnover,457636.05,INR Lakh Cr
NTPC,CPSE,HR,2008,Net Profit,654449.26,%
NTPC,CPSE,MP,2008,Dividend,663499.93,%
NTPC,CPSE,TG,2008,Credit Deployed,863805.81,%
NTPC,CPSE,KA,2008,GNPA Ratio,898704.74,%
NTPC,Institution,MH,2008,Recovery Rate,323524.57,INR Cr
NTPC,Bank,UP,2009,Gross Turnover,811469.09,INR Lakh Cr
NTPC,CPSE,BR,2009,Net Profit,67880.2,%
NTPC,Institution,MH,2009,Dividend,449719.91,%
NTPC,Institution,TG,2009,Credit Deployed,546279.73,INR Lakh Cr
NTPC,Bank,AP,2009,GNPA Ratio,503062.33,INR Cr
NTPC,Bank,GJ,2009,Recovery Rate,881337.17,INR Cr
NTPC,Institution,AP,2010,Gross Turnover,452510.07,INR Lakh Cr
NTPC,Bank,WB,2010,Net Profit,675247.14,INR Cr
NTPC,CPSE,KA,2010,Dividend,527093.05,%
NTPC,Bank,UP,2010,Credit Deployed,641715.73,%
NTPC,CPSE,GJ,2010,GNPA Ratio,1451.05,INR Cr
NTPC,Bank,KA,2010,Recovery Rate,534287.79,INR Cr
NTPC,CPSE,TG,2011,Gross Turnover,519246.74,INR Cr
NTPC,Bank,KL,2011,Net Profit,105029.04,INR Lakh Cr
NTPC,CPSE,GJ,2011,Dividend,378230.44,%
NTPC,Institution,KL,2011,Credit Deployed,407123.21,INR Cr
NTPC,CPSE,PB,2011,GNPA Ratio,636126.17,INR Cr
NTPC,Institution,UP,2011,Recovery Rate,595904.02,INR Lakh Cr
NTPC,Institution,MH,2012,Gross Turnover,77966.92,INR Lakh Cr
NTPC,Bank,PB,2012,Net Profit,305729.96,INR Cr
NTPC,CPSE,KA,2012,Dividend,171964.01,%
NTPC,CPSE,PB,2012,Credit Deployed,271503.0,%
NTPC,Institution,HR,2012,GNPA Ratio,434595.85,%
NTPC,Institution,PB,2012,Recovery Rate,26221.12,INR Cr
NTPC,Institution,AP,2013,Gross Turnover,401724.66,INR Cr
NTPC,CPSE,GJ,2013,Net Profit,329431.78,%
NTPC,CPSE,UP,2013,Dividend,427254.27,INR Lakh Cr
NTPC,Institution,WB,2013,Credit Deployed,483177.86,%
NTPC,Institution,GJ,2013,GNPA Ratio,78082.9,INR Cr
NTPC,CPSE,KA,2013,Recovery Rate,32716.31,INR Lakh Cr
NTPC,Bank,MH,2014,Gross Turnover,596510.53,INR Cr
NTPC,CPSE,HR,2014,Net Profit,451534.23,%
NTPC,Bank,OD,2014,Dividend,586684.77,%
NTPC,Bank,AP,2014,Credit Deployed,736526.39,INR Lakh Cr
NTPC,Bank,MP,2014,GNPA Ratio,311097.79,INR Lakh Cr
NTPC,Institution,GJ,2014,Recovery Rate,370821.84,%
NTPC,CPSE,OD,2015,Gross Turnover,472209.83,INR Lakh Cr
NTPC,CPSE,HR,2015,Net Profit,528637.01,INR Cr
NTPC,Bank,WB,2015,Dividend,609916.61,%
NTPC,Institution,MP,2015,Credit Deployed,445142.4,%
NTPC,Institution,MP,2015,GNPA Ratio,369544.72,INR Lakh Cr
NTPC,Bank,HR,2015,Recovery Rate,803015.2,INR Lakh Cr
NTPC,Institution,HR,2016,Gross Turnover,778496.83,INR Cr
NTPC,Bank,RJ,2016,Net Profit,527009.31,%
NTPC,Bank,GJ,2016,Dividend,288517.62,INR Lakh Cr
NTPC,CPSE,MP,2016,Credit Deployed,503750.1,INR Cr
NTPC,Institution,TG,2016,GNPA Ratio,349258.75,INR Cr
NTPC,Institution,KA,2016,Recovery Rate,681112.73,%
NTPC,Bank,KL,2017,Gross Turnover,136790.64,INR Lakh Cr
NTPC,Bank,AP,2017,Net Profit,581732.14,INR Cr
NTPC,Institution,RJ,2017,Dividend,747573.88,%
NTPC,CPSE,RJ,2017,Credit Deployed,470846.97,INR Lakh Cr
NTPC,Bank,TG,2017,GNPA Ratio,474826.38,INR Lakh Cr
NTPC,CPSE,AP,2017,Recovery Rate,677113.61,%
NTPC,Institution,OD,2018,Gross Turnover,624721.55,INR Lakh Cr
NTPC,Bank,GJ,2018,Net Profit,267661.02,INR Cr
NTPC,Institution,TN,2018,Dividend,65471.91,%
