state_code,year,metric,value,unit,geography_level
AP,2005,Road Length,2393.17,Million Tonnes,State
AP,2005,NH Construction,6758.31,Million Tonnes,State
AP,2005,Rail Freight,17624.43,Hours,State
AP,2005,Port Turnaround Time,16933.05,KM,State
AP,2005,Airport Passenger Traffic,16834.2,KM,State
AP,2005,Internet Penetration,13191.33,Hours,State
AP,2006,Road Length,14981.94,%,State
AP,2006,NH Construction,4434.63,Hours,State
AP,2006,Rail Freight,2737.05,Million Tonnes,State
AP,2006,Port Turnaround Time,15345.23,Hours,State
AP,2006,Airport Passenger Traffic,18439.73,%,State
AP,2006,Internet Penetration,5145.55,Million,State
AP,2007,Road Length,17558.38,KM,State
AP,2007,NH Construction,1357.17,KM,State
AP,2007,Rail Freight,483.33,Million,State
AP,2007,Port Turnaround Time,23413.05,KM,State
AP,2007,Airport Passenger Traffic,11311.33,KM,State
AP,2007,Internet Penetration,5590.04,KM,State
AP,2008,Road Length,21011.06,Million Tonnes,State
AP,2008,NH Construction,18511.26,KM,State
AP,2008,Rail Freight,12501.21,Hours,State
AP,2008,Port Turnaround Time,10896.21,Hours,State
AP,2008,Airport Passenger Traffic,22262.42,%,State
AP,2008,Internet Penetration,22872.26,Million,State
AP,2009,Road Length,21546.86,Million,State
AP,2009,NH Construction,10916.64,KM,State
AP,2009,Rail Freight,11015.79,Hours,State
AP,2009,Port Turnaround Time,14777.4,KM,State
AP,2009,Airport Passenger Traffic,13717.21,KM,State
AP,2009,Internet Penetration,6126.35,Million,State
AP,2010,Road Length,5180.21,KM,State
AP,2010,NH Construction,20477.4,Million,State
AP,2010,Rail Freight,442.26,KM,State
AP,2010,Port Turnaround Time,5438.72,%,State
AP,2010,Airport Passenger Traffic,2020.91,Million Tonnes,State
AP,2010,Internet Penetration,1656.9,%,State
AP,2011,Road Length,10676.81,Million Tonnes,State
AP,2011,NH Construction,14967.68,Million Tonnes,State
AP,2011,Rail Freight,9367.79,Million Tonnes,State
AP,2011,Port Turnaround Time,22135.61,Hours,State
AP,2011,Airport Passenger Traffic,12388.17,%,State
AP,2011,Internet Penetration,19690.56,Hours,State
AP,2012,Road Length,15457.91,KM,State
AP,2012,NH Construction,6408.59,Hours,State
AP,2012,Rail Freight,13084.08,Hours,State
AP,2012,Port Turnaround Time,19291.49,KM,State
AP,2012,Airport Passenger Traffic,23027.09,Hours,State
AP,2012,Internet Penetration,13504.47,KM,State
AP,2013,Road Length,21643.31,KM,State
AP,2013,NH Construction,22394.12,KM,State
AP,2013,Rail Freight,971.7,Hours,State
AP,2013,Port Turnaround Time,11413.2,%,State
AP,2013,Airport Passenger Traffic,21855.7,Hours,State
AP,2013,Internet Penetration,17665.97,Million Tonnes,State
AP,2014,Road Length,12535.85,Million Tonnes,State
AP,2014,NH Construction,16268.13,%,State
AP,2014,Rail Freight,19621.29,Million Tonnes,State
AP,2014,Port Turnaround Time,20636.11,Hours,State
AP,2014,Airport Passenger Traffic,15011.25,%,State
AP,2014,Internet Penetration,7596.05,%,State
AP,2015,Road Length,11791.19,Million,State
AP,2015,NH Construction,5329.73,KM,State
AP,2015,Rail Freight,19134.57,Million Tonnes,State
AP,2015,Port Turnaround Time,10278.55,%,State
AP,2015,Airport Passenger Traffic,4095.52,%,State
AP,2015,Internet Penetration,19684.41,Million,State
AP,2016,Road Length,16639.06,Hours,State
AP,2016,NH Construction,20371.73,Million,State
AP,2016,Rail Freight,11210.41,Million,State
AP,2016,Port Turnaround Time,7300.77,Million,State
AP,2016,Airport Passenger Traffic,23121.57,Hours,State
AP,2016,Internet Penetration,12923.64,KM,State
AP,2017,Road Length,8986.46,Million Tonnes,State
AP,2017,NH Construction,20731.03,KM,State
AP,2017,Rail Freight,20720.11,%,State
AP,2017,Port Turnaround Time,8235.89,Million Tonnes,State
AP,2017,Airport Passenger Traffic,9400.65,Million Tonnes,State
AP,2017,Internet Penetration,23533.91,KM,State
AP,2018,Road Length,8033.36,%,State
AP,2018,NH Construction,9879.0,Hours,State
AP,2018,Rail Freight,20738.89,KM,State
AP,2018,Port Turnaround Time,21484.54,Million Tonnes,State
AP,2018,Airport Passenger Traffic,22120.98,Million,State
AP,2018,Internet Penetration,21483.23,Hours,State
AP,2019,Road Length,10421.45,KM,State
AP,2019,NH Construction,4093.1,%,State
AP,2019,Rail Freight,10336.23,Million,State
AP,2019,Port Turnaround Time,5816.99,%,State
AP,2019,Airport Passenger Traffic,4215.58,%,State
AP,2019,Internet Penetration,17996.62,Million,State
AP,2020,Road Length,12921.84,KM,State
AP,2020,NH Construction,8696.23,Hours,State
AP,2020,Rail Freight,18337.11,Hours,State
AP,2020,Port Turnaround Time,6114.27,Million Tonnes,State
AP,2020,Airport Passenger Traffic,15902.52,Hours,State
AP,2020,Internet Penetration,5636.8,KM,State
AP,2021,Road Length,5376.17,Hours,State
AP,2021,NH Construction,6209.27,Hours,State
AP,2021,Rail Freight,8458.28,Million,State
AP,2021,Port Turnaround Time,14340.61,Hours,State
AP,2021,Airport Passenger Traffic,13966.27,KM,State
