state_code,year,indicator,value,gender,area_type
AP,2005,Employment Rate,56.4,Male,Total
AP,2005,WPR,37.56,Male,Total
AP,2005,Female LFPR,80.82,Male,Urban
AP,2005,IMR,58.05,Male,Rural
AP,2005,Education Enrolment,28.52,Male,Rural
AP,2005,Learning Outcomes,30.45,Total,Total
AP,2006,Employment Rate,84.89,Female,Urban
AP,2006,WPR,76.94,Female,Total
AP,2006,Female LFPR,57.33,Male,Total
AP,2006,IMR,47.81,Total,Rural
AP,2006,Education Enrolment,17.74,Total,Urban
AP,2006,Learning Outcomes,84.04,Total,Rural
AP,2007,Employment Rate,43.98,Female,Total
AP,2007,WPR,68.32,Male,Total
AP,2007,Female LFPR,84.84,Female,Rural
AP,2007,IMR,55.82,Total,Rural
AP,2007,Education Enrolment,37.37,Female,Rural
AP,2007,Learning Outcomes,97.31,Male,Urban
AP,2008,Employment Rate,92.96,Total,Total
AP,2008,WPR,75.24,Total,Urban
AP,2008,Female LFPR,75.78,Total,Total
AP,2008,IMR,83.1,Female,Urban
AP,2008,Education Enrolment,96.84,Total,Rural
AP,2008,Learning Outcomes,83.28,Female,Urban
AP,2009,Employment Rate,30.37,Total,Total
AP,2009,WPR,53.58,Female,Total
AP,2009,Female LFPR,17.9,Total,Urban
AP,2009,IMR,90.2,Male,Rural
AP,2009,Education Enrolment,50.83,Male,Rural
AP,2009,Learning Outcomes,78.78,Male,Total
AP,2010,Employment Rate,17.74,Male,Urban
AP,2010,WPR,21.54,Male,Rural
AP,2010,Female LFPR,18.16,Male,Rural
AP,2010,IMR,74.1,Male,Urban
AP,2010,Education Enrolment,42.18,Total,Urban
AP,2010,Learning Outcomes,80.15,Female,Rural
AP,2011,Employment Rate,71.09,Male,Rural
AP,2011,WPR,40.3,Total,Rural
AP,2011,Female LFPR,64.28,Female,Total
AP,2011,IMR,36.54,Female,Rural
AP,2011,Education Enrolment,35.9,Total,Rural
AP,2011,Learning Outcomes,87.86,Total,Urban
AP,2012,Employment Rate,53.21,Female,Total
AP,2012,WPR,67.82,Female,Urban
AP,2012,Female LFPR,71.32,Total,Total
AP,2012,IMR,96.34,Total,Rural
AP,2012,Education Enrolment,62.71,Male,Urban
AP,2012,Learning Outcomes,69.89,Total,Total
AP,2013,Employment Rate,74.66,Male,Rural
AP,2013,WPR,91.06,Female,Urban
AP,2013,Female LFPR,88.87,Total,Urban
AP,2013,IMR,75.57,Total,Total
AP,2013,Education Enrolment,97.3,Female,Urban
AP,2013,Learning Outcomes,71.49,Male,Urban
AP,2014,Employment Rate,85.38,Total,Total
AP,2014,WPR,15.56,Total,Urban
AP,2014,Female LFPR,95.75,Male,Total
AP,2014,IMR,84.6,Total,Rural
AP,2014,Education Enrolment,87.16,Female,Total
AP,2014,Learning Outcomes,42.56,Female,Urban
AP,2015,Employment Rate,85.47,Male,Urban
AP,2015,WPR,70.24,Female,Rural
AP,2015,Female LFPR,75.46,Male,Rural
AP,2015,IMR,42.81,Total,Urban
AP,2015,Education Enrolment,38.91,Total,Rural
AP,2015,Learning Outcomes,57.9,Total,Rural
AP,2016,Employment Rate,32.42,Female,Urban
AP,2016,WPR,56.19,Female,Total
AP,2016,Female LFPR,74.82,Female,Rural
AP,2016,IMR,50.1,Female,Rural
AP,2016,Education Enrolment,45.33,Male,Total
AP,2016,Learning Outcomes,70.89,Female,Total
AP,2017,Employment Rate,81.72,Total,Total
AP,2017,WPR,32.88,Female,Rural
AP,2017,Female LFPR,81.55,Female,Urban
AP,2017,IMR,74.57,Male,Rural
AP,2017,Education Enrolment,83.97,Male,Urban
AP,2017,Learning Outcomes,16.92,Total,Rural
AP,2018,Employment Rate,27.35,Male,Rural
AP,2018,WPR,91.14,Female,Total
AP,2018,Female LFPR,85.13,Female,Rural
AP,2018,IMR,17.53,Total,Urban
AP,2018,Education Enrolment,25.59,Total,Rural
AP,2018,Learning Outcomes,52.47,Female,Rural
AP,2019,Employment Rate,25.17,Male,Total
AP,2019,WPR,90.34,Male,Urban
AP,2019,Female LFPR,16.7,Male,Urban
AP,2019,IMR,67.87,Total,Total
AP,2019,Education Enrolment,63.05,Female,Total
AP,2019,Learning Outcomes,72.01,Total,Urban
AP,2020,Employment Rate,23.55,Female,Total
AP,2020,WPR,94.07,Total,Total
AP,2020,Female LFPR,80.32,Male,Urban
AP,2020,IMR,21.87,Male,Rural
AP,2020,Education Enrolment,92.9,Male,Urban
AP,2020,Learning Outcomes,39.02,Total,Urban
AP,2021,Employment Rate,26.19,Female,Rural
AP,2021,WPR,51.53,Total,Rural
AP,2021,Female LFPR,70.84,Total,Rural
AP,2021,IMR,35.86,Total,Rural
AP,2021,Education Enrolment,75.03,Total,Urban
AP,2021,Learning Outcomes,80.71,Total,Urban
AP,2022,Employment Rate,80.29,Total,Rural
AP,2022,WPR,86.17,Female,Urban
AP,2022,Female LFPR,74.39,Total,Rural
AP,2022,IMR,77.22,Male,Rural
AP,2022,Education Enrolment,20.53,Total,Total
