state_code,settlement_name,year,settlement_type,population,density,classification_source
AP,AP_SETTLEMENT_0,2005,New Urbanising Settlement,3096879,5303.76,DEGURBA
AP,AP_SETTLEMENT_1,2005,Urban Centre,2928728,4482.14,DEGURBA
AP,AP_SETTLEMENT_2,2005,Urban Centre,2971403,15169.13,DEGURBA
AP,AP_SETTLEMENT_3,2005,Urban Cluster,3304280,5855.85,DEGURBA
AP,AP_SETTLEMENT_4,2005,Urban Centre,1625295,15226.9,DEGURBA
AP,AP_SETTLEMENT_5,2005,Urban Centre,1079013,7525.34,DEGURBA
AP,AP_SETTLEMENT_6,2005,Urban Cluster,28119,5307.92,DEGURBA
AP,AP_SETTLEMENT_7,2005,New Urbanising Settlement,6103147,17758.1,DEGURBA
AP,AP_SETTLEMENT_8,2005,New Urbanising Settlement,481113,11306.36,DEGURBA
AP,AP_SETTLEMENT_9,2005,Urban Centre,2130786,10302.49,DEGURBA
AP,AP_SETTLEMENT_10,2005,Urban Cluster,6801797,11889.99,DEGURBA
AP,AP_SETTLEMENT_11,2005,Rural,7943996,19463.46,DEGURBA
AP,AP_SETTLEMENT_0,2006,New Urbanising Settlement,1655024,18545.33,DEGURBA
AP,AP_SETTLEMENT_1,2006,Rural,7648064,5101.66,DEGURBA
AP,AP_SETTLEMENT_2,2006,Urban Cluster,6668240,15438.4,DEGURBA
AP,AP_SETTLEMENT_3,2006,Urban Cluster,1973062,16841.75,DEGURBA
AP,AP_SETTLEMENT_4,2006,Rural,5857658,13422.34,DEGURBA
AP,AP_SETTLEMENT_5,2006,Rural,7491482,14063.16,DEGURBA
AP,AP_SETTLEMENT_6,2006,New Urbanising Settlement,3351615,7860.79,DEGURBA
AP,AP_SETTLEMENT_7,2006,Rural,5255192,17968.66,DEGURBA
AP,AP_SETTLEMENT_8,2006,Urban Cluster,222522,18908.8,DEGURBA
AP,AP_SETTLEMENT_9,2006,Urban Centre,5436177,7111.83,DEGURBA
AP,AP_SETTLEMENT_10,2006,New Urbanising Settlement,3871692,2707.07,DEGURBA
AP,AP_SETTLEMENT_11,2006,New Urbanising Settlement,4838699,18383.69,DEGURBA
AP,AP_SETTLEMENT_0,2007,Urban Cluster,233552,18658.9,DEGURBA
AP,AP_SETTLEMENT_1,2007,Rural,756247,6523.81,DEGURBA
AP,AP_SETTLEMENT_2,2007,Urban Cluster,3924668,1730.41,DEGURBA
AP,AP_SETTLEMENT_3,2007,Urban Centre,6125502,2065.6,DEGURBA
AP,AP_SETTLEMENT_4,2007,Rural,1835439,17528.71,DEGURBA
AP,AP_SETTLEMENT_5,2007,Urban Cluster,4268049,11325.58,DEGURBA
AP,AP_SETTLEMENT_6,2007,Rural,7241259,9286.55,DEGURBA
AP,AP_SETTLEMENT_7,2007,Rural,492843,6063.86,DEGURBA
